relative_id,timestamp,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z
45,1726865371.6970348,9.703242301940918,-0.11725249886512756,0.5072965025901794,0.9800000190734863,-4.269999980926514,-0.6299999952316284,60.027992248535156,-8.259305000305176,51.82497024536133,9.767850875854492,-1.1533817052841187,0.7896596789360046,0.21000000834465027,-2.240000009536743,-1.3300000429153442,20.55000114440918,-84.30000305175781,-26.55000114440918
46,1726865371.7226758,9.724778175354004,-0.23929080367088318,0.45704543590545654,0.9100000262260437,-4.409999847412109,-0.7699999809265137,57.72465133666992,-7.877602577209473,50.92676544189453,9.839637756347656,-1.1198810338974,0.7729093432426453,0.14000000059604645,-2.1700000762939453,-1.3300000429153442,20.850000381469727,-84.30000305175781,-27.000001907348633
47,1726865371.748317,9.775029182434082,-0.2416837215423584,0.45943835377693176,2.0299999713897705,-4.550000190734863,-0.8400000333786011,57.69168472290039,-7.884541988372803,49.944454193115234,9.82528018951416,-1.1007376909255981,0.6987291574478149,-0.21000000834465027,-1.9600000381469727,-1.5399999618530273,20.850000381469727,-83.4000015258789,-26.850000381469727
48,1726865371.773958,9.676919937133789,-0.1722893863916397,0.5575475692749023,2.309999942779541,-4.480000019073486,-0.5600000023841858,56.903343200683594,-8.01516056060791,49.92658233642578,9.806137084960938,-1.0863802433013916,0.6652284264564514,-1.1200000047683716,-2.240000009536743,-1.399999976158142,21.150001525878906,-84.30000305175781,-27.30000114440918
49,1726865371.771906,9.657776832580566,-0.17468228936195374,0.5072965025901794,1.6800000667572021,-4.269999980926514,-0.42000001668930054,56.57667541503906,-6.125441074371338,48.3011474609375,9.846817016601562,-1.1940611600875854,0.7489802241325378,-1.75,-2.240000009536743,-1.1200000047683716,20.850000381469727,-83.55000305175781,-27.000001907348633
50,1726865371.7975469,9.712814331054688,-0.26561281085014343,0.5312256217002869,1.5399999618530273,-4.550000190734863,-0.49000000953674316,56.63954162597656,-9.032267570495605,49.748046875,9.846817016601562,-1.1892752647399902,0.8040171265602112,-1.0499999523162842,-2.0999999046325684,-1.3300000429153442,20.55000114440918,-84.75,-26.55000114440918
51,1726865371.823188,9.688884735107422,-0.23929080367088318,0.5072965025901794,2.0999999046325684,-4.829999923706055,-0.3499999940395355,56.91836166381836,-6.971643447875977,48.849788665771484,9.801351547241211,-1.237133502960205,0.7729093432426453,-0.49000000953674316,-2.0999999046325684,-1.5399999618530273,21.75,-84.9000015258789,-28.200000762939453
52,1726865371.848829,9.708027839660645,-0.12203831225633621,0.5144752264022827,2.870000123977661,-4.480000019073486,-0.3499999940395355,58.314697265625,-9.030086517333984,51.55963134765625,9.736742973327637,-1.2203831672668457,0.7250511646270752,-0.07000000029802322,-2.0999999046325684,-1.399999976158142,21.600000381469727,-83.4000015258789,-25.650001525878906
53,1726865371.847262,9.758278846740723,-0.06221561133861542,0.4953319728374481,2.1700000762939453,-4.340000152587891,-0.3499999940395355,59.77064895629883,-7.6751322746276855,52.63117980957031,9.770243644714355,-1.1629533767700195,0.727444052696228,-0.2800000011920929,-2.240000009536743,-1.0499999523162842,21.450000762939453,-84.9000015258789,-27.750001907348633
54,1726865371.8729029,9.7391357421875,-0.12203831225633621,0.49054616689682007,1.1200000047683716,-4.199999809265137,-0.21000000834465027,57.215023040771484,-10.467598915100098,48.7888298034668,9.794173240661621,-1.2610626220703125,0.746587336063385,-0.2800000011920929,-2.0999999046325684,-0.9800000190734863,21.600000381469727,-84.30000305175781,-26.700000762939453
